,ORIGIN_STATE_ABR,ORIGIN_COUNTRY,DEST_COUNTRY,DEST_STATE_ABR,MONTH,PASSENGERS
220,,BR,US,CA,1,0.0
296,,BR,US,FL,1,0.0
317,,BR,US,FL,1,0.0
501,,BR,US,FL,2,0.0
521,,BR,US,FL,2,0.0
3523,,BR,US,TN,1,0.0
4579,,BR,US,CA,2,0.0
6383,,BR,US,FL,2,0.0
6408,,BR,US,IL,2,0.0
6420,,BR,US,CA,2,0.0
7654,,BR,US,TN,2,0.0
7997,,BR,US,FL,3,0.0
8017,,BR,US,FL,3,0.0
8021,,BR,US,FL,3,0.0
9436,,BR,US,CA,3,0.0
10457,,BR,US,VA,3,0.0
10458,,BR,US,FL,3,0.0
10485,,BR,US,FL,3,0.0
10512,,BR,US,IL,3,0.0
10521,,BR,US,FL,3,0.0
11180,,BR,US,FL,4,0.0
11197,,BR,US,FL,4,0.0
11198,,BR,US,FL,4,0.0
11202,,BR,US,FL,4,0.0
12763,,BR,US,CA,4,0.0
13183,,BR,US,FL,5,0.0
14371,,BR,US,FL,5,0.0
14388,,BR,US,FL,5,0.0
14390,,BR,US,FL,5,0.0
15208,,BR,US,IL,4,0.0
15218,,BR,US,PR,4,0.0
15245,,BR,US,OK,4,0.0
15882,,BR,US,MA,4,0.0
15883,,BR,US,LA,4,0.0
17192,,BR,US,CA,5,0.0
18870,,BR,US,TX,5,0.0
19240,,BR,US,FL,6,0.0
19258,,BR,US,FL,6,0.0
19260,,BR,US,FL,6,0.0
19443,,BR,US,AL,5,0.0
19444,,BR,US,FL,5,0.0
20568,,BR,US,TN,5,0.0
20685,,BR,US,CA,6,0.0
21246,,BR,US,IL,5,0.0
23481,,BR,US,FL,6,0.0
25088,,BR,US,TN,6,0.0
25902,,BR,US,FL,1,1.0
32333,,BR,US,CA,4,3.0
35024,,BR,US,IL,3,5.0
37163,,BR,US,TX,3,7.0
40992,,BR,US,FL,1,13.0
41917,,BR,US,IL,2,15.0
48876,,BR,US,IL,6,36.0
50472,,BR,US,MN,1,42.0
50828,,BR,US,MN,2,43.0
52794,,BR,US,IL,4,49.0
53735,,BR,US,MN,5,52.0
55355,,BR,US,MN,6,59.0
56565,,BR,US,MN,4,65.0
57036,,BR,US,TX,1,68.0
57801,,BR,US,MN,3,71.0
58473,,BR,US,IL,5,75.0
58559,,BR,US,TX,2,76.0
58805,,BR,US,MA,1,77.0
59650,,BR,US,FL,1,84.0
60151,,BR,US,CA,5,88.0
60428,,BR,US,CA,6,90.0
60448,,BR,US,IL,1,91.0
61748,,BR,US,CA,1,101.0
63026,,BR,US,FL,3,113.0
63164,,BR,US,CA,4,114.0
64959,,BR,US,MA,6,129.0
66165,,BR,US,CA,2,140.0
69410,,BR,US,VA,4,175.0
70072,,BR,US,MA,4,186.0
70332,,BR,US,CA,3,190.0
70632,,BR,US,MA,5,195.0
70912,,BR,US,FL,5,200.0
72893,,BR,US,LA,4,240.0
73512,,BR,US,FL,6,254.0
73986,,BR,US,FL,2,266.0
74676,,BR,US,FL,2,283.0
75632,,BR,US,MA,2,311.0
76393,,BR,US,MA,3,334.0
76572,,BR,US,FL,4,341.0
78081,,BR,US,FL,5,400.0
79536,,BR,US,FL,6,460.0
79988,,BR,US,FL,5,479.0
80160,,BR,US,FL,3,487.0
83181,,BR,US,CA,2,634.0
84313,,BR,US,FL,2,712.0
84454,,BR,US,FL,2,721.0
85430,,BR,US,CA,3,798.0
86145,,BR,US,CA,4,855.0
86818,,BR,US,FL,2,906.0
86877,,BR,US,FL,6,909.0
87018,,BR,US,FL,3,922.0
87512,,BR,US,FL,1,960.0
87613,,BR,US,FL,4,966.0
87818,,BR,US,FL,3,979.0
89973,,BR,US,FL,2,1120.0
90375,,BR,US,FL,5,1142.0
90799,,BR,US,CA,5,1166.0
90889,,BR,US,FL,2,1171.0
90908,,BR,US,FL,6,1172.0
91457,,BR,US,FL,2,1202.0
92234,,BR,US,FL,4,1246.0
93359,,BR,US,FL,2,1309.0
94505,,BR,US,FL,3,1373.0
95541,,BR,US,FL,5,1439.0
95815,,BR,US,FL,2,1457.0
96196,,BR,US,FL,4,1484.0
96419,,BR,US,FL,2,1500.0
97251,,BR,US,FL,1,1564.0
97486,,BR,US,FL,2,1582.0
97576,,BR,US,CA,1,1590.0
97757,,BR,US,FL,3,1606.0
97941,,BR,US,FL,5,1620.0
98092,,BR,US,FL,1,1632.0
98493,,BR,US,CA,6,1666.0
98829,,BR,US,MI,3,1695.0
99183,,BR,US,FL,2,1724.0
100109,,BR,US,FL,4,1800.0
101671,,BR,US,MI,2,1924.0
101984,,BR,US,FL,1,1951.0
102030,,BR,US,FL,3,1955.0
102589,,BR,US,FL,3,2003.0
103084,,BR,US,FL,3,2044.0
103089,,BR,US,FL,4,2045.0
104080,,BR,US,FL,2,2131.0
104231,,BR,US,FL,6,2143.0
104420,,BR,US,FL,3,2159.0
105450,,BR,US,FL,1,2253.0
106456,,BR,US,FL,2,2354.0
107385,,BR,US,MI,1,2445.0
107529,,BR,US,MI,6,2459.0
107541,,BR,US,MI,5,2460.0
107637,,BR,US,FL,2,2470.0
108009,,BR,US,FL,4,2505.0
108187,,BR,US,FL,1,2525.0
108257,,BR,US,FL,5,2530.0
108364,,BR,US,FL,1,2541.0
108503,,BR,US,FL,1,2555.0
108855,,BR,US,FL,3,2594.0
109039,,BR,US,MI,4,2612.0
111197,,BR,US,FL,1,2848.0
112094,,BR,US,FL,5,2955.0
114329,,BR,US,FL,4,3210.0
115310,,BR,US,FL,2,3320.0
115753,,BR,US,VA,6,3367.0
115817,,BR,US,FL,1,3375.0
116035,,BR,US,VA,5,3397.0
116715,,BR,US,FL,2,3471.0
117330,,BR,US,FL,1,3536.0
119166,,BR,US,FL,6,3723.0
119230,,BR,US,FL,4,3729.0
120227,,BR,US,FL,1,3832.0
120269,,BR,US,FL,2,3835.0
121018,,BR,US,FL,1,3914.0
121348,,BR,US,VA,4,3947.0
121475,,BR,US,NY,2,3960.0
121805,,BR,US,FL,6,3995.0
123494,,BR,US,FL,6,4192.0
123549,,BR,US,FL,4,4199.0
123587,,BR,US,FL,3,4202.0
124252,,BR,US,FL,2,4289.0
124392,,BR,US,NY,5,4307.0
125252,,BR,US,NY,6,4426.0
125496,,BR,US,FL,5,4463.0
125621,,BR,US,VA,2,4484.0
125629,,BR,US,FL,5,4486.0
125719,,BR,US,FL,6,4500.0
125995,,BR,US,NY,4,4542.0
126878,,BR,US,FL,3,4684.0
127170,,BR,US,NY,3,4737.0
127389,,BR,US,CA,2,4775.0
127496,,BR,US,FL,1,4795.0
127653,,BR,US,IL,2,4824.0
127847,,BR,US,IL,6,4857.0
128169,,BR,US,NJ,2,4916.0
128318,,BR,US,TX,3,4943.0
128622,,BR,US,TX,2,5001.0
128678,,BR,US,IL,4,5013.0
128863,,BR,US,IL,3,5046.0
128963,,BR,US,IL,5,5066.0
129062,,BR,US,NY,2,5083.0
129085,,BR,US,FL,2,5090.0
129716,,BR,US,FL,1,5225.0
130037,,BR,US,VA,3,5296.0
130177,,BR,US,NY,2,5327.0
130260,,BR,US,FL,6,5344.0
130305,,BR,US,FL,3,5354.0
130487,,BR,US,TX,6,5396.0
130509,,BR,US,GA,4,5403.0
130674,,BR,US,NY,6,5438.0
130813,,BR,US,FL,6,5476.0
130913,,BR,US,FL,5,5498.0
130926,,BR,US,CA,3,5502.0
131031,,BR,US,GA,6,5528.0
131088,,BR,US,NY,1,5541.0
131090,,BR,US,FL,5,5542.0
131139,,BR,US,NY,4,5553.0
131178,,BR,US,FL,4,5563.0
131262,,BR,US,GA,5,5583.0
131358,,BR,US,NY,3,5602.0
131523,,BR,US,FL,4,5642.0
131695,,BR,US,TX,5,5681.0
131717,,BR,US,NJ,3,5686.0
131750,,BR,US,NY,6,5692.0
131843,,BR,US,TX,4,5716.0
131990,,BR,US,TX,2,5752.0
132064,,BR,US,TX,2,5769.0
132251,,BR,US,TX,3,5821.0
132292,,BR,US,NJ,6,5832.0
132496,,BR,US,NY,2,5885.0
132550,,BR,US,NY,1,5897.0
132643,,BR,US,CA,4,5924.0
132672,,BR,US,NY,5,5931.0
133057,,BR,US,CA,6,6025.0
133235,,BR,US,FL,3,6071.0
133354,,BR,US,FL,4,6102.0
133446,,BR,US,NY,3,6125.0
133490,,BR,US,NY,4,6135.0
133593,,BR,US,TX,3,6165.0
133609,,BR,US,TX,1,6170.0
133650,,BR,US,NJ,1,6179.0
133699,,BR,US,FL,5,6191.0
133731,,BR,US,FL,4,6201.0
133788,,BR,US,VA,1,6213.0
133850,,BR,US,FL,3,6233.0
133867,,BR,US,FL,1,6238.0
133913,,BR,US,CA,1,6250.0
134068,,BR,US,FL,1,6292.0
134150,,BR,US,FL,6,6309.0
134195,,BR,US,FL,4,6321.0
134321,,BR,US,FL,5,6354.0
134416,,BR,US,FL,6,6377.0
134423,,BR,US,TX,4,6379.0
134831,,BR,US,CA,5,6484.0
134904,,BR,US,FL,1,6505.0
134994,,BR,US,GA,6,6528.0
135054,,BR,US,FL,3,6545.0
135138,,BR,US,GA,4,6569.0
135201,,BR,US,GA,5,6586.0
135247,,BR,US,NY,1,6599.0
135249,,BR,US,NJ,4,6601.0
135423,,BR,US,FL,1,6651.0
135510,,BR,US,NJ,5,6678.0
135697,,BR,US,GA,2,6730.0
135789,,BR,US,GA,3,6763.0
135900,,BR,US,GA,2,6788.0
136067,,BR,US,FL,2,6830.0
136099,,BR,US,TX,6,6840.0
136157,,BR,US,GA,3,6857.0
136161,,BR,US,NY,5,6857.0
136589,,BR,US,TX,1,6995.0
136663,,BR,US,FL,4,7016.0
136827,,BR,US,NY,3,7063.0
137474,,BR,US,FL,5,7255.0
137548,,BR,US,TX,5,7280.0
137827,,BR,US,FL,6,7358.0
138049,,BR,US,FL,2,7431.0
138171,,BR,US,FL,5,7466.0
138313,,BR,US,IL,1,7511.0
138332,,BR,US,TX,6,7519.0
138864,,BR,US,FL,1,7690.0
139076,,BR,US,NY,6,7763.0
139449,,BR,US,NY,2,7888.0
139555,,BR,US,TX,1,7924.0
139705,,BR,US,TX,4,7981.0
139717,,BR,US,FL,3,7985.0
139929,,BR,US,NY,1,8076.0
140042,,BR,US,GA,1,8110.0
140475,,BR,US,GA,1,8275.0
140549,,BR,US,NY,4,8305.0
140862,,BR,US,TX,5,8447.0
141222,,BR,US,NY,3,8589.0
141758,,BR,US,NY,5,8868.0
141964,,BR,US,NY,1,8969.0
143472,,BR,US,NY,6,9840.0
143890,,BR,US,NY,4,10120.0
144085,,BR,US,NY,5,10246.0
144628,,BR,US,FL,2,10641.0
145592,,BR,US,FL,1,11410.0
146230,,BR,US,FL,1,11960.0
146890,,BR,US,FL,2,12650.0
146945,,BR,US,FL,3,12717.0
148628,,BR,US,FL,6,14995.0
148783,,BR,US,FL,5,15246.0
149207,,BR,US,FL,4,15971.0
149420,,BR,US,FL,2,16328.0
150084,,BR,US,FL,3,17614.0
150400,,BR,US,FL,1,18306.0
150555,,BR,US,FL,6,18605.0
151064,,BR,US,FL,4,19878.0
151463,,BR,US,FL,5,20993.0
151512,,BR,US,FL,1,21130.0
152762,,BR,US,FL,1,25675.0
