,ORIGIN_STATE_ABR,ORIGIN_COUNTRY,DEST_COUNTRY,DEST_STATE_ABR,MONTH,PASSENGERS
211,FL,US,BR,,1,0.0
240,FL,US,BR,,1,0.0
254,FL,US,BR,,1,0.0
258,FL,US,BR,,1,0.0
263,FL,US,BR,,1,0.0
300,FL,US,BR,,1,0.0
301,FL,US,BR,,1,0.0
302,FL,US,BR,,1,0.0
303,FL,US,BR,,1,0.0
306,FL,US,BR,,1,0.0
307,FL,US,BR,,1,0.0
308,FL,US,BR,,1,0.0
310,FL,US,BR,,1,0.0
312,FL,US,BR,,1,0.0
313,FL,US,BR,,1,0.0
337,FL,US,BR,,1,0.0
451,FL,US,BR,,2,0.0
463,FL,US,BR,,2,0.0
469,FL,US,BR,,2,0.0
504,FL,US,BR,,2,0.0
505,FL,US,BR,,2,0.0
507,FL,US,BR,,2,0.0
508,FL,US,BR,,2,0.0
510,FL,US,BR,,2,0.0
511,FL,US,BR,,2,0.0
512,FL,US,BR,,2,0.0
515,FL,US,BR,,2,0.0
516,FL,US,BR,,2,0.0
517,FL,US,BR,,2,0.0
1283,FL,US,BR,,1,0.0
1463,FL,US,BR,,1,0.0
1467,FL,US,BR,,1,0.0
1471,FL,US,BR,,1,0.0
3510,FL,US,BR,,1,0.0
3516,TN,US,BR,,1,0.0
4567,FL,US,BR,,2,0.0
5111,FL,US,BR,,2,0.0
6386,FL,US,BR,,2,0.0
6391,FL,US,BR,,2,0.0
6395,FL,US,BR,,2,0.0
6397,FL,US,BR,,2,0.0
7646,TN,US,BR,,2,0.0
7978,FL,US,BR,,3,0.0
7980,FL,US,BR,,3,0.0
7984,FL,US,BR,,3,0.0
7988,FL,US,BR,,3,0.0
8001,FL,US,BR,,3,0.0
8002,FL,US,BR,,3,0.0
8003,FL,US,BR,,3,0.0
8005,FL,US,BR,,3,0.0
8006,FL,US,BR,,3,0.0
8008,FL,US,BR,,3,0.0
8010,FL,US,BR,,3,0.0
8011,FL,US,BR,,3,0.0
8014,FL,US,BR,,3,0.0
8015,FL,US,BR,,3,0.0
8016,FL,US,BR,,3,0.0
8970,FL,US,BR,,3,0.0
9426,FL,US,BR,,3,0.0
9684,FL,US,BR,,4,0.0
9686,FL,US,BR,,4,0.0
9688,FL,US,BR,,4,0.0
9693,FL,US,BR,,4,0.0
10233,FL,US,BR,,4,0.0
10491,FL,US,BR,,3,0.0
10492,FL,US,BR,,3,0.0
10497,FL,US,BR,,3,0.0
10501,FL,US,BR,,3,0.0
11105,FL,US,BR,,3,0.0
11107,FL,US,BR,,3,0.0
11109,FL,US,BR,,3,0.0
11114,FL,US,BR,,3,0.0
11184,FL,US,BR,,4,0.0
11185,FL,US,BR,,4,0.0
11187,FL,US,BR,,4,0.0
11189,FL,US,BR,,4,0.0
11190,FL,US,BR,,4,0.0
11191,FL,US,BR,,4,0.0
11194,FL,US,BR,,4,0.0
11195,FL,US,BR,,4,0.0
11196,FL,US,BR,,4,0.0
12754,FL,US,BR,,4,0.0
13907,FL,US,BR,,4,0.0
14287,FL,US,BR,,5,0.0
14288,FL,US,BR,,5,0.0
14291,FL,US,BR,,5,0.0
14296,FL,US,BR,,5,0.0
14306,FL,US,BR,,5,0.0
14308,FL,US,BR,,5,0.0
14313,FL,US,BR,,5,0.0
14375,FL,US,BR,,5,0.0
14376,FL,US,BR,,5,0.0
14377,FL,US,BR,,5,0.0
14380,FL,US,BR,,5,0.0
14381,FL,US,BR,,5,0.0
14382,FL,US,BR,,5,0.0
14384,FL,US,BR,,5,0.0
14385,FL,US,BR,,5,0.0
14386,FL,US,BR,,5,0.0
15193,FL,US,BR,,4,0.0
15196,FL,US,BR,,4,0.0
15255,TN,US,BR,,4,0.0
15263,FL,US,BR,,4,0.0
15952,FL,US,BR,,5,0.0
17182,FL,US,BR,,5,0.0
18006,FL,US,BR,,5,0.0
18391,FL,US,BR,,5,0.0
18393,FL,US,BR,,5,0.0
18396,FL,US,BR,,5,0.0
18564,FL,US,BR,,5,0.0
19210,FL,US,BR,,6,0.0
19212,FL,US,BR,,6,0.0
19216,FL,US,BR,,6,0.0
19225,FL,US,BR,,6,0.0
19227,FL,US,BR,,6,0.0
19233,FL,US,BR,,6,0.0
19244,FL,US,BR,,6,0.0
19245,FL,US,BR,,6,0.0
19246,FL,US,BR,,6,0.0
19247,FL,US,BR,,6,0.0
19248,FL,US,BR,,6,0.0
19250,FL,US,BR,,6,0.0
19251,FL,US,BR,,6,0.0
19252,FL,US,BR,,6,0.0
19254,FL,US,BR,,6,0.0
19255,FL,US,BR,,6,0.0
19256,FL,US,BR,,6,0.0
19449,FL,US,BR,,5,0.0
19453,FL,US,BR,,5,0.0
19456,FL,US,BR,,5,0.0
20564,TN,US,BR,,5,0.0
20675,FL,US,BR,,6,0.0
21852,FL,US,BR,,4,0.0
21853,FL,US,BR,,4,0.0
21856,FL,US,BR,,4,0.0
21861,FL,US,BR,,4,0.0
21883,FL,US,BR,,6,0.0
22366,FL,US,BR,,6,0.0
23253,VA,US,BR,,6,0.0
23485,FL,US,BR,,6,0.0
23488,FL,US,BR,,6,0.0
23492,FL,US,BR,,6,0.0
23633,FL,US,BR,,6,0.0
25083,TN,US,BR,,6,0.0
35476,NJ,US,BR,,6,5.0
37937,MI,US,BR,,3,8.0
43933,IL,US,BR,,3,20.0
47222,CA,US,BR,,3,30.0
48005,CA,US,BR,,2,33.0
48420,IL,US,BR,,2,35.0
49627,MN,US,BR,,1,39.0
51392,IL,US,BR,,4,45.0
52413,FL,US,BR,,3,48.0
52555,IL,US,BR,,5,48.0
53198,CA,US,BR,,1,50.0
53490,MN,US,BR,,2,51.0
54050,PR,US,BR,,6,53.0
55746,MN,US,BR,,4,61.0
56563,FL,US,BR,,1,65.0
56842,IL,US,BR,,1,67.0
57002,IL,US,BR,,6,67.0
57637,MN,US,BR,,5,70.0
59905,MN,US,BR,,3,86.0
60025,FL,US,BR,,2,87.0
61659,CA,US,BR,,6,100.0
63081,NY,US,BR,,6,113.0
63634,FL,US,BR,,1,118.0
