,report_date,location,data_field,value
99720,2015-11-28,El_Salvador,cumulative_suspected_total,851.0
99738,2015-12-05,El_Salvador,cumulative_suspected_total,864.0
99765,2015-12-12,El_Salvador,cumulative_suspected_total,1716.0
99794,2015-12-19,El_Salvador,cumulative_suspected_total,2773.0
99825,2015-12-27,El_Salvador,cumulative_suspected_total,3836.0
99860,2016-01-09,El_Salvador,cumulative_suspected_total,492.0
99893,2016-01-16,El_Salvador,cumulative_suspected_total,1561.0
99927,2016-01-23,El_Salvador,cumulative_suspected_total,2474.0
99962,2016-01-30,El_Salvador,cumulative_suspected_total,3302.0
100002,2016-02-06,El_Salvador,cumulative_suspected_total,4087.0
100042,2016-02-13,El_Salvador,cumulative_suspected_total,4748.0
100082,2016-02-20,El_Salvador,cumulative_suspected_total,5123.0
100122,2016-02-27,El_Salvador,cumulative_suspected_total,5343.0
100162,2016-03-05,El_Salvador,cumulative_suspected_total,5620.0
100201,2016-03-12,El_Salvador,cumulative_suspected_total,5693.0
100243,2016-03-26,El_Salvador,cumulative_suspected_total,5854.0
100286,2016-04-02,El_Salvador,cumulative_suspected_total,5936.0
100329,2016-04-09,El_Salvador,cumulative_suspected_total,6003.0
100372,2016-04-16,El_Salvador,cumulative_suspected_total,6137.0
100415,2016-04-23,El_Salvador,cumulative_suspected_total,6206.0
100458,2016-04-23,El_Salvador,cumulative_suspected_total,6316.0
100502,2016-04-23,El_Salvador,cumulative_suspected_total,6398.0
100546,2016-04-23,El_Salvador,cumulative_suspected_total,6440.0
100590,2016-04-23,El_Salvador,cumulative_suspected_total,6491.0
100634,2016-04-23,El_Salvador,cumulative_suspected_total,6571.0
100678,2016-04-23,El_Salvador,cumulative_suspected_total,6640.0
