,report_date,location,data_field,value
100724,2015-12-23,Guatemala,total_zika_suspected_cumulative,3.044522437723423
100733,2015-12-29,Guatemala,total_zika_suspected_cumulative,3.044522437723423
100743,2016-01-14,Guatemala,total_zika_suspected_cumulative,5.298317366548036
100761,2016-01-26,Guatemala,total_zika_suspected_cumulative,4.356708826689592
100771,2016-02-02,Guatemala,total_zika_suspected_cumulative,4.718498871295094
100797,2016-02-09,Guatemala,total_zika_suspected_cumulative,5.159055299214529
100812,2016-02-16,Guatemala,total_zika_suspected_cumulative,5.762051382780177
100848,2016-02-23,Guatemala,total_zika_suspected_cumulative,6.09807428216624
100891,2016-03-01,Guatemala,total_zika_suspected_cumulative,6.270988431858299
100957,2016-03-08,Guatemala,total_zika_suspected_cumulative,6.3835066348840055
101020,2016-03-15,Guatemala,total_zika_suspected_cumulative,6.618738983517219
101115,2016-03-26,Guatemala,total_zika_suspected_cumulative,6.705639094860003
