,report_date,location,data_field,value
101270,2015-11-28,Mexico-Aguascalientes,yearly_cumulative_female,0.0
101271,2015-11-28,Mexico-Baja_California,yearly_cumulative_female,0.0
101272,2015-11-28,Mexico-Baja_California_Sur,yearly_cumulative_female,0.0
101273,2015-11-28,Mexico-Campeche,yearly_cumulative_female,0.0
101274,2015-11-28,Mexico-Chiapas,yearly_cumulative_female,0.0
101275,2015-11-28,Mexico-Chihuahua,yearly_cumulative_female,0.0
101276,2015-11-28,Mexico-Coahuila_de_Zaragoza,yearly_cumulative_female,0.0
101277,2015-11-28,Mexico-Colima,yearly_cumulative_female,0.0
101278,2015-11-28,Mexico-Distrito_Federal,yearly_cumulative_female,0.0
101279,2015-11-28,Mexico-Durango,yearly_cumulative_female,0.0
101280,2015-11-28,Mexico-Guanajuato,yearly_cumulative_female,0.0
101281,2015-11-28,Mexico-Guerrero,yearly_cumulative_female,0.0
101282,2015-11-28,Mexico-Hidalgo,yearly_cumulative_female,0.0
101283,2015-11-28,Mexico-Jalisco,yearly_cumulative_female,0.0
101284,2015-11-28,Mexico-Mexico,yearly_cumulative_female,0.0
101285,2015-11-28,Mexico-Michoacan_de_Ocampo,yearly_cumulative_female,0.0
101286,2015-11-28,Mexico-Morelos,yearly_cumulative_female,0.0
101287,2015-11-28,Mexico-Nayarit,yearly_cumulative_female,0.0
101288,2015-11-28,Mexico-Nuevo_Leon,yearly_cumulative_female,0.0
101289,2015-11-28,Mexico-Oaxaca,yearly_cumulative_female,0.0
101290,2015-11-28,Mexico-Puebla,yearly_cumulative_female,0.0
101291,2015-11-28,Mexico-Queretaro_de_Arteaga,yearly_cumulative_female,0.0
101292,2015-11-28,Mexico-Quintana_Roo,yearly_cumulative_female,0.0
101293,2015-11-28,Mexico-San_Luis_Potosi,yearly_cumulative_female,0.0
101294,2015-11-28,Mexico-Sinaloa,yearly_cumulative_female,0.0
101295,2015-11-28,Mexico-Sonora,yearly_cumulative_female,0.0
101296,2015-11-28,Mexico-Tabasco,yearly_cumulative_female,0.0
101297,2015-11-28,Mexico-Tamaulipas,yearly_cumulative_female,0.0
101298,2015-11-28,Mexico-Tlaxcala,yearly_cumulative_female,0.0
101299,2015-11-28,Mexico-Veracruz_de_Ignacio_de_la_Llave,yearly_cumulative_female,0.0
101300,2015-11-28,Mexico-Yucatan,yearly_cumulative_female,0.0
101301,2015-11-28,Mexico-Zacatecas,yearly_cumulative_female,0.0
101302,2015-11-28,Mexico-Aguascalientes,yearly_cumulative_male,0.0
101303,2015-11-28,Mexico-Baja_California,yearly_cumulative_male,0.0
101304,2015-11-28,Mexico-Baja_California_Sur,yearly_cumulative_male,0.0
101305,2015-11-28,Mexico-Campeche,yearly_cumulative_male,0.0
101306,2015-11-28,Mexico-Chiapas,yearly_cumulative_male,1.0
101307,2015-11-28,Mexico-Chihuahua,yearly_cumulative_male,0.0
101308,2015-11-28,Mexico-Coahuila_de_Zaragoza,yearly_cumulative_male,0.0
101309,2015-11-28,Mexico-Colima,yearly_cumulative_male,0.0
101310,2015-11-28,Mexico-Distrito_Federal,yearly_cumulative_male,0.0
101311,2015-11-28,Mexico-Durango,yearly_cumulative_male,0.0
101312,2015-11-28,Mexico-Guanajuato,yearly_cumulative_male,0.0
101313,2015-11-28,Mexico-Guerrero,yearly_cumulative_male,0.0
101314,2015-11-28,Mexico-Hidalgo,yearly_cumulative_male,0.0
101315,2015-11-28,Mexico-Jalisco,yearly_cumulative_male,0.0
101316,2015-11-28,Mexico-Mexico,yearly_cumulative_male,0.0
101317,2015-11-28,Mexico-Michoacan_de_Ocampo,yearly_cumulative_male,0.0
101318,2015-11-28,Mexico-Morelos,yearly_cumulative_male,0.0
101319,2015-11-28,Mexico-Nayarit,yearly_cumulative_male,0.0
101320,2015-11-28,Mexico-Nuevo_Leon,yearly_cumulative_male,1.0
101321,2015-11-28,Mexico-Oaxaca,yearly_cumulative_male,0.0
101322,2015-11-28,Mexico-Puebla,yearly_cumulative_male,0.0
101323,2015-11-28,Mexico-Queretaro_de_Arteaga,yearly_cumulative_male,0.0
101324,2015-11-28,Mexico-Quintana_Roo,yearly_cumulative_male,0.0
101325,2015-11-28,Mexico-San_Luis_Potosi,yearly_cumulative_male,0.0
101326,2015-11-28,Mexico-Sinaloa,yearly_cumulative_male,0.0
101327,2015-11-28,Mexico-Sonora,yearly_cumulative_male,0.0
101328,2015-11-28,Mexico-Tabasco,yearly_cumulative_male,0.0
101329,2015-11-28,Mexico-Tamaulipas,yearly_cumulative_male,0.0
101330,2015-11-28,Mexico-Tlaxcala,yearly_cumulative_male,0.0
101331,2015-11-28,Mexico-Veracruz_de_Ignacio_de_la_Llave,yearly_cumulative_male,0.0
101332,2015-11-28,Mexico-Yucatan,yearly_cumulative_male,0.0
101333,2015-11-28,Mexico-Zacatecas,yearly_cumulative_male,0.0
