report_date,location,data_field,value
2016-04-02,Norte,zika_reported,6295
2016-04-02,Brazil-Rondonia,zika_reported,618
2016-04-02,Brazil-Acre,zika_reported,375
2016-04-02,Brazil-Amazonas,zika_reported,1520
2016-04-02,Brazil-Roraima,zika_reported,44
2016-04-02,Brazil-Para,zika_reported,771
2016-04-02,Brazil-Amapa,zika_reported,74
2016-04-02,Brazil-Tocantins,zika_reported,2893
2016-04-02,Nordeste,zika_reported,30286
2016-04-02,Brazil-Maranhao,zika_reported,1202
2016-04-02,Brazil-Piaui,zika_reported,7
2016-04-02,Brazil-Ceara,zika_reported,156
2016-04-02,Brazil-Rio_Grande_do_Norte,zika_reported,640
2016-04-02,Brazil-Paraiba,zika_reported,1060
2016-04-02,Brazil-Pernambuco,zika_reported,333
2016-04-02,Brazil-Alagoas,zika_reported,1479
2016-04-02,Brazil-Sergipe,zika_reported,348
2016-04-02,Brazil-Bahia,zika_reported,25061
2016-04-02,Sudeste,zika_reported,35505
2016-04-02,Brazil-Minas_Gerais,zika_reported,6693
2016-04-02,Brazil-Espirito_Santo,zika_reported,1382
2016-04-02,Brazil-Rio_de_Janeiro,zika_reported,25930
2016-04-02,Brazil-Sao_Paulo,zika_reported,1500
2016-04-02,Sul,zika_reported,1797
2016-04-02,Brazil-Parana,zika_reported,1540
2016-04-02,Brazil-Santa_Catarina,zika_reported,62
2016-04-02,Brazil-Rio_Grande_do_Sul,zika_reported,195
2016-04-02,Centro-Oeste,zika_reported,17504
2016-04-02,Brazil-Mato_Grosso_do_Sul,zika_reported,296
2016-04-02,Brazil-Mato_Grosso,zika_reported,16055
2016-04-02,Brazil-Goias,zika_reported,920
2016-04-02,Brazil-Distrito_Federal,zika_reported,233
2016-04-02,Brazil,zika_reported,91387
2016-04-23,Norte,zika_reported,8545
2016-04-23,Brazil-Acre,zika_reported,716
2016-04-23,Brazil-Amapa,zika_reported,127
2016-04-23,Brazil-Amazonas,zika_reported,2172
2016-04-23,Brazil-Para,zika_reported,1079
2016-04-23,Brazil-Rondonia,zika_reported,783
2016-04-23,Brazil-Roraima,zika_reported,56
2016-04-23,Brazil-Tocantins,zika_reported,3612
2016-04-23,Nordeste,zika_reported,43000
2016-04-23,Brazil-Alagoas,zika_reported,1906
2016-04-23,Brazil-Bahia,zika_reported,34507
2016-04-23,Brazil-Ceara,zika_reported,676
2016-04-23,Brazil-Maranhao,zika_reported,1877
2016-04-23,Brazil-Paraiba,zika_reported,1745
2016-04-23,Brazil-Pernambuco,zika_reported,367
2016-04-23,Brazil-Piaui,zika_reported,75
2016-04-23,Brazil-Rio_Grande_do_Norte,zika_reported,1443
2016-04-23,Brazil-Sergipe,zika_reported,404
2016-04-23,Sudeste,zika_reported,46318
2016-04-23,Brazil-Espirito_Santo,zika_reported,1790
2016-04-23,Brazil-Minas_Gerais,zika_reported,9669
2016-04-23,Brazil-Rio_de_Janeiro,zika_reported,32312
2016-04-23,Brazil-Sao_Paulo,zika_reported,2547
2016-04-23,Sul,zika_reported,2197
2016-04-23,Brazil-Parana,zika_reported,1847
2016-04-23,Brazil-Rio_Grande_do_Sul,zika_reported,264
2016-04-23,Brazil-Santa_Catarina,zika_reported,86
2016-04-23,Centro-Oeste,zika_reported,20101
2016-04-23,Brazil-Distrito_Federal,zika_reported,276
2016-04-23,Brazil-Goias,zika_reported,1907
2016-04-23,Brazil-Mato_Grosso,zika_reported,17391
2016-04-23,Brazil-Mato_Grosso_do_Sul,zika_reported,527
2016-04-23,Brazil,zika_reported,120161
2016-04-30,Norte,zika_reported,8379
2016-04-30,Brazil-Acre,zika_reported,732
2016-04-30,Brazil-Amapa,zika_reported,122
2016-04-30,Brazil-Amazonas,zika_reported,2172
2016-04-30,Brazil-Para,zika_reported,1249
2016-04-30,Brazil-Rondonia,zika_reported,783
2016-04-30,Brazil-Roraima,zika_reported,57
2016-04-30,Brazil-Tocantins,zika_reported,3264
2016-04-30,Nordeste,zika_reported,47709
2016-04-30,Brazil-Alagoas,zika_reported,2206
2016-04-30,Brazil-Bahia,zika_reported,37836
2016-04-30,Brazil-Ceara,zika_reported,832
2016-04-30,Brazil-Maranhao,zika_reported,1954
2016-04-30,Brazil-Paraiba,zika_reported,2275
2016-04-30,Brazil-Pernambuco,zika_reported,450
2016-04-30,Brazil-Piaui,zika_reported,82
2016-04-30,Brazil-Rio_Grande_do_Norte,zika_reported,1647
