report_date,location,data_field,value
2016-01-09,Dominican_Republic,total_zika_new_suspected,0.0
2016-01-16,Dominican_Republic,total_zika_new_suspected,0.0
2016-01-23,Dominican_Republic,total_zika_new_suspected,27.0
2016-01-23,Dominican_Republic,total_zika_new_confirmed_pcr,10.0
2016-01-30,Dominican_Republic,total_zika_new_suspected,32.0
2016-01-30,Dominican_Republic-Distrito_Nacional,total_zika_new_suspected,8.0
2016-01-30,Dominican_Republic-Jimani_de_Independencia,total_zika_new_suspected,14.0
2016-01-30,Dominican_Republic-Santo_Domingo_Norte,total_zika_new_suspected,3.0
2016-01-30,Dominican_Republic-Santa_Cruz-Barahona,total_zika_new_suspected,7.0
2016-02-06,Dominican_Republic,total_zika_new_suspected,87.0
2016-02-06,Dominican_Republic,total_zika_new_confirmed_pcr,8.0
2016-02-06,Dominican_Republic-Santo_Domingo_Este,total_zika_new_confirmed_pcr,4.0
2016-02-06,Dominican_Republic-Santo_Domingo_Oeste,total_zika_new_confirmed_pcr,1.0
2016-02-06,Dominican_Republic-Santiago-Caballeros,total_zika_new_confirmed_pcr,1.0
2016-02-06,Dominican_Republic-Luperon-Puerto_Plata,total_zika_new_confirmed_pcr,1.0
2016-02-06,Dominican_Republic-Azua-Compostela,total_zika_new_confirmed_pcr,1.0
2016-02-06,Dominican_Republic,zika_new_confirmed_pcr_f,6.0
2016-02-06,Dominican_Republic,zika_new_confirmed_pcr_m,2.0
2016-02-06,Dominican_Republic,efe_reported,32.0
2016-02-13,Dominican_Republic,total_zika_new_suspected,82.0
2016-02-13,Dominican_Republic-Distrito_Nacional,total_zika_new_suspected,33.0
2016-02-13,Dominican_Republic-Santo_Domingo,total_zika_new_suspected,40.0
2016-02-13,Dominican_Republic-Independencia,total_zika_new_suspected,4.0
2016-02-13,Dominican_Republic-Barahona,total_zika_new_suspected,2.0
2016-02-13,Dominican_Republic-Puerto_Plata,total_zika_new_suspected,2.0
2016-02-13,Dominican_Republic-Santiago,total_zika_new_suspected,1.0
2016-02-13,Dominican_Republic,total_zika_new_confirmed_pcr,8.0
2016-02-13,Dominican_Republic,zika_new_confirmed_pcr_f,6.0
2016-02-13,Dominican_Republic,zika_new_confirmed_pcr_m,2.0
2016-02-13,Dominican_Republic,zika_suspected_cumulative,305.0
2016-02-13,Dominican_Republic,zika_suspected_pregnant_cumulative,11.0
2016-02-13,Dominican_Republic,zika_confirmed_pcr_cumulative,18.0
2016-02-20,Dominican_Republic,total_zika_new_suspected,90.0
2016-02-20,Dominican_Republic-Distrito_Nacional,total_zika_new_suspected,30.0
2016-02-20,Dominican_Republic-Santo_Domingo,total_zika_new_suspected,32.0
2016-02-20,Dominican_Republic-Azua,total_zika_new_suspected,5.0
2016-02-20,Dominican_Republic-Independencia,total_zika_new_suspected,4.0
2016-02-20,Dominican_Republic-Barahona,total_zika_new_suspected,1.0
2016-02-20,Dominican_Republic-Puerto_Plata,total_zika_new_suspected,1.0
2016-02-20,Dominican_Republic-Other,total_zika_new_suspected,17.0
2016-02-20,Dominican_Republic,zika_suspected_cumulative,395.0
2016-02-20,Dominican_Republic,zika_suspected_pregnant_cumulative,27.0
2016-02-20,Dominican_Republic,zika_confirmed_pcr_cumulative,18.0
2016-02-27,Dominican_Republic,total_zika_new_suspected,101.0
2016-02-27,Dominican_Republic-Santo_Domingo,total_zika_new_suspected,48.0
2016-02-27,Dominican_Republic-Distrito_Nacional,total_zika_new_suspected,21.0
2016-02-27,Dominican_Republic-Azua,total_zika_new_suspected,3.0
2016-02-27,Dominican_Republic-Other,total_zika_new_suspected,29.0
2016-02-27,Dominican_Republic,zika_suspected_cumulative,573.0
2016-02-27,Dominican_Republic,zika_suspected_pregnant_cumulative,30.0
2016-03-05,Dominican_Republic,total_zika_new_suspected,87.0
2016-03-05,Dominican_Republic-Santo_Domingo,total_zika_new_suspected,45.0
2016-03-05,Dominican_Republic-Distrito_Nacional,total_zika_new_suspected,25.0
2016-03-05,Dominican_Republic-Azua,total_zika_new_suspected,5.0
2016-03-05,Dominican_Republic-Independencia,total_zika_new_suspected,8.0
2016-03-05,Dominican_Republic-Puerto_Plata,total_zika_new_suspected,1.0
2016-03-05,Dominican_Republic-Other,total_zika_new_suspected,3.0
