report_date,location,data_field,value
2015-11-28,El_Salvador-Ahuachapan,cumulative_suspected_total,4.0
2015-11-28,El_Salvador-Cabanas,cumulative_suspected_total,3.0
2015-11-28,El_Salvador-Chalatenango,cumulative_suspected_total,8.0
2015-11-28,El_Salvador-Cuscatlan,cumulative_suspected_total,4.0
2015-11-28,El_Salvador-La_Libertad,cumulative_suspected_total,61.0
2015-11-28,El_Salvador-La_Paz,cumulative_suspected_total,1.0
2015-11-28,El_Salvador-La_Union,cumulative_suspected_total,4.0
2015-11-28,El_Salvador-Morazan,cumulative_suspected_total,4.0
2015-11-28,El_Salvador-San_Miguel,cumulative_suspected_total,16.0
2015-11-28,El_Salvador-San_Salvador,cumulative_suspected_total,551.0
2015-11-28,El_Salvador-San_Vicente,cumulative_suspected_total,38.0
2015-11-28,El_Salvador-Santa_Ana,cumulative_suspected_total,9.0
2015-11-28,El_Salvador-Sonsonate,cumulative_suspected_total,3.0
2015-11-28,El_Salvador-Usulutan,cumulative_suspected_total,28.0
2015-11-28,El_Salvador,cumulative_suspected_total,851.0
2015-11-28,El_Salvador-La_Libertad,cumulative_suspected_pregnant,1.0
2015-11-28,El_Salvador-San_Salvador,cumulative_suspected_pregnant,2.0
2015-11-28,El_Salvador,cumulative_suspected_pregnant,3.0
2015-12-05,El_Salvador-Ahuachapan,cumulative_suspected_total,5.0
2015-12-05,El_Salvador-Cabanas,cumulative_suspected_total,8.0
2015-12-05,El_Salvador-Chalatenango,cumulative_suspected_total,15.0
2015-12-05,El_Salvador-Cuscatlan,cumulative_suspected_total,6.0
2015-12-05,El_Salvador-La_Libertad,cumulative_suspected_total,70.0
2015-12-05,El_Salvador-La_Paz,cumulative_suspected_total,1.0
2015-12-05,El_Salvador-La_Union,cumulative_suspected_total,7.0
2015-12-05,El_Salvador-Morazan,cumulative_suspected_total,8.0
2015-12-05,El_Salvador-San_Miguel,cumulative_suspected_total,20.0
2015-12-05,El_Salvador-San_Salvador,cumulative_suspected_total,584.0
2015-12-05,El_Salvador-San_Vicente,cumulative_suspected_total,86.0
2015-12-05,El_Salvador-Santa_Ana,cumulative_suspected_total,11.0
2015-12-05,El_Salvador-Sonsonate,cumulative_suspected_total,4.0
2015-12-05,El_Salvador-Usulutan,cumulative_suspected_total,39.0
2015-12-05,El_Salvador,cumulative_suspected_total,864.0
2015-12-05,El_Salvador,cumulative_suspected_age_under_1,9.0
2015-12-05,El_Salvador,cumulative_suspected_age_1-4,27.0
2015-12-05,El_Salvador,cumulative_suspected_age_5-9,47.0
2015-12-05,El_Salvador,cumulative_suspected_age_10-19,39.0
2015-12-05,El_Salvador,cumulative_suspected_age_20-29,190.0
2015-12-05,El_Salvador,cumulative_suspected_age_30-39,221.0
2015-12-05,El_Salvador,cumulative_suspected_age_40-49,181.0
2015-12-05,El_Salvador,cumulative_suspected_age_50-59,104.0
2015-12-05,El_Salvador,cumulative_suspected_age_60_plus,46.0
2015-12-05,El_Salvador-La_Libertad,cumulative_suspected_pregnant,1.0
2015-12-05,El_Salvador-San_Salvador,cumulative_suspected_pregnant,4.0
2015-12-05,El_Salvador,cumulative_suspected_pregnant,5.0
2015-12-12,El_Salvador-Ahuachapan,cumulative_suspected_total,18.0
2015-12-12,El_Salvador-Cabanas,cumulative_suspected_total,21.0
2015-12-12,El_Salvador-Chalatenango,cumulative_suspected_total,27.0
2015-12-12,El_Salvador-Cuscatlan,cumulative_suspected_total,22.0
2015-12-12,El_Salvador-La_Libertad,cumulative_suspected_total,174.0
2015-12-12,El_Salvador-La_Paz,cumulative_suspected_total,28.0
2015-12-12,El_Salvador-La_Union,cumulative_suspected_total,9.0
2015-12-12,El_Salvador-Morazan,cumulative_suspected_total,22.0
2015-12-12,El_Salvador-San_Miguel,cumulative_suspected_total,38.0
2015-12-12,El_Salvador-San_Salvador,cumulative_suspected_total,1113.0
2015-12-12,El_Salvador-San_Vicente,cumulative_suspected_total,145.0
2015-12-12,El_Salvador-Santa_Ana,cumulative_suspected_total,34.0
2015-12-12,El_Salvador-Sonsonate,cumulative_suspected_total,9.0
2015-12-12,El_Salvador-Usulutan,cumulative_suspected_total,56.0
2015-12-12,El_Salvador,cumulative_suspected_total,1716.0
2015-12-12,El_Salvador,cumulative_suspected_age_under_1,26.0
2015-12-12,El_Salvador,cumulative_suspected_age_1-4,48.0
2015-12-12,El_Salvador,cumulative_suspected_age_5-9,71.0
2015-12-12,El_Salvador,cumulative_suspected_age_10-19,19.0
2015-12-12,El_Salvador,cumulative_suspected_age_20-29,394.0
2015-12-12,El_Salvador,cumulative_suspected_age_30-39,450.0
2015-12-12,El_Salvador,cumulative_suspected_age_40-49,351.0
2015-12-12,El_Salvador,cumulative_suspected_age_50-59,197.0
2015-12-12,El_Salvador,cumulative_suspected_age_60_plus,83.0
2015-12-12,El_Salvador-Chalatenango,cumulative_suspected_pregnant,1.0
2015-12-12,El_Salvador-La_Libertad,cumulative_suspected_pregnant,2.0
2015-12-12,El_Salvador-San_Salvador,cumulative_suspected_pregnant,16.0
2015-12-12,El_Salvador-San_Vicente,cumulative_suspected_pregnant,2.0
2015-12-12,El_Salvador,cumulative_suspected_pregnant,21.0
2015-12-19,El_Salvador-Ahuachapan,cumulative_suspected_total,27.0
2015-12-19,El_Salvador-Cabanas,cumulative_suspected_total,36.0
2015-12-19,El_Salvador-Chalatenango,cumulative_suspected_total,58.0
2015-12-19,El_Salvador-Cuscatlan,cumulative_suspected_total,33.0
2015-12-19,El_Salvador-La_Libertad,cumulative_suspected_total,316.0
2015-12-19,El_Salvador-La_Paz,cumulative_suspected_total,60.0
2015-12-19,El_Salvador-La_Union,cumulative_suspected_total,13.0
2015-12-19,El_Salvador-Morazan,cumulative_suspected_total,53.0
2015-12-19,El_Salvador-San_Miguel,cumulative_suspected_total,51.0
2015-12-19,El_Salvador-San_Salvador,cumulative_suspected_total,1692.0
2015-12-19,El_Salvador-San_Vicente,cumulative_suspected_total,221.0
2015-12-19,El_Salvador-Santa_Ana,cumulative_suspected_total,130.0
2015-12-19,El_Salvador-Sonsonate,cumulative_suspected_total,14.0
2015-12-19,El_Salvador-Usulutan,cumulative_suspected_total,69.0
2015-12-19,El_Salvador,cumulative_suspected_total,2773.0
2015-12-19,El_Salvador,cumulative_suspected_age_under_1,53.0
2015-12-19,El_Salvador,cumulative_suspected_age_1-4,82.0
2015-12-19,El_Salvador,cumulative_suspected_age_5-9,98.0
2015-12-19,El_Salvador,cumulative_suspected_age_10-19,144.0
2015-12-19,El_Salvador,cumulative_suspected_age_20-29,661.0
2015-12-19,El_Salvador,cumulative_suspected_age_30-39,728.0
2015-12-19,El_Salvador,cumulative_suspected_age_40-49,560.0
2015-12-19,El_Salvador,cumulative_suspected_age_50-59,312.0
2015-12-19,El_Salvador,cumulative_suspected_age_60_plus,135.0
2015-12-19,El_Salvador-La_Libertad,cumulative_suspected_pregnant,5.0
2015-12-19,El_Salvador-San_Salvador,cumulative_suspected_pregnant,25.0
2015-12-19,El_Salvador-Chalatenango,cumulative_suspected_pregnant,3.0
2015-12-19,El_Salvador-San_Vicente,cumulative_suspected_pregnant,3.0
2015-12-19,El_Salvador-La_Paz,cumulative_suspected_pregnant,1.0
2015-12-19,El_Salvador-Ahuachapan,cumulative_suspected_pregnant,1.0
2015-12-19,El_Salvador,cumulative_suspected_pregnant,38.0
2015-12-27,El_Salvador-Ahuachapan,cumulative_suspected_total,40.0
2015-12-27,El_Salvador-Cabanas,cumulative_suspected_total,54.0
2015-12-27,El_Salvador-Chalatenango,cumulative_suspected_total,136.0
2015-12-27,El_Salvador-Cuscatlan,cumulative_suspected_total,71.0
2015-12-27,El_Salvador-La_Libertad,cumulative_suspected_total,438.0
2015-12-27,El_Salvador-La_Paz,cumulative_suspected_total,75.0
2015-12-27,El_Salvador-La_Union,cumulative_suspected_total,19.0
2015-12-27,El_Salvador-Morazan,cumulative_suspected_total,65.0
2015-12-27,El_Salvador-San_Miguel,cumulative_suspected_total,58.0
2015-12-27,El_Salvador-San_Salvador,cumulative_suspected_total,2272.0
2015-12-27,El_Salvador-San_Vicente,cumulative_suspected_total,294.0
2015-12-27,El_Salvador-Santa_Ana,cumulative_suspected_total,213.0
2015-12-27,El_Salvador-Sonsonate,cumulative_suspected_total,23.0
2015-12-27,El_Salvador-Usulutan,cumulative_suspected_total,78.0
2015-12-27,El_Salvador,cumulative_suspected_total,3836.0
2015-12-27,El_Salvador,cumulative_suspected_age_under_1,72.0
2015-12-27,El_Salvador,cumulative_suspected_age_1-4,121.0
2015-12-27,El_Salvador,cumulative_suspected_age_5-9,131.0
2015-12-27,El_Salvador,cumulative_suspected_age_10-19,209.0
2015-12-27,El_Salvador,cumulative_suspected_age_20-29,990.0
2015-12-27,El_Salvador,cumulative_suspected_age_30-39,979.0
2015-12-27,El_Salvador,cumulative_suspected_age_40-49,747.0
2015-12-27,El_Salvador,cumulative_suspected_age_50-59,397.0
2015-12-27,El_Salvador,cumulative_suspected_age_60_plus,190.0
2015-12-27,El_Salvador-Ahuachapan,cumulative_suspected_pregnant,1.0
2015-12-27,El_Salvador-Chalatenango,cumulative_suspected_pregnant,4.0
2015-12-27,El_Salvador-La_Libertad,cumulative_suspected_pregnant,9.0
2015-12-27,El_Salvador-La_Paz,cumulative_suspected_pregnant,1.0
2015-12-27,El_Salvador-San_Salvador,cumulative_suspected_pregnant,39.0
2015-12-27,El_Salvador-San_Vicente,cumulative_suspected_pregnant,5.0
2015-12-27,El_Salvador-Santa_Ana,cumulative_suspected_pregnant,1.0
2015-12-27,El_Salvador-Cuscatlan,cumulative_suspected_pregnant,1.0
2015-12-27,El_Salvador-Morazan,cumulative_suspected_pregnant,1.0
2015-12-27,El_Salvador-Cabanas,cumulative_suspected_pregnant,1.0
2015-12-27,El_Salvador,cumulative_suspected_pregnant,63.0
2016-01-09,El_Salvador-Ahuachapan,cumulative_suspected_total,11.0
2016-01-09,El_Salvador-Cabanas,cumulative_suspected_total,19.0
2016-01-09,El_Salvador-Chalatenango,cumulative_suspected_total,32.0
2016-01-09,El_Salvador-Cuscatlan,cumulative_suspected_total,47.0
2016-01-09,El_Salvador-La_Libertad,cumulative_suspected_total,89.0
2016-01-09,El_Salvador-La_Paz,cumulative_suspected_total,4.0
2016-01-09,El_Salvador-La_Union,cumulative_suspected_total,2.0
2016-01-09,El_Salvador-Morazan,cumulative_suspected_total,2.0
2016-01-09,El_Salvador-San_Miguel,cumulative_suspected_total,13.0
2016-01-09,El_Salvador-San_Salvador,cumulative_suspected_total,159.0
2016-01-09,El_Salvador-San_Vicente,cumulative_suspected_total,44.0
2016-01-09,El_Salvador-Santa_Ana,cumulative_suspected_total,61.0
2016-01-09,El_Salvador-Sonsonate,cumulative_suspected_total,10.0
2016-01-09,El_Salvador-Usulutan,cumulative_suspected_total,3.0
2016-01-09,El_Salvador,cumulative_suspected_total,492.0
2016-01-09,El_Salvador,cumulative_suspected_age_under_1,6.0
2016-01-09,El_Salvador,cumulative_suspected_age_1-4,15.0
