report_date,location,data_field,value
2016-01-19,Guatemala,total_zika_suspected,25.0
2016-01-19,Guatemala-Zacapa,total_zika_suspected,11.0
2016-01-19,Guatemala-Suchitepequez,total_zika_suspected,9.0
2016-01-19,Guatemala-Izabal,total_zika_suspected,2.0
2016-01-19,Guatemala-Peten_Sur_Oriental,total_zika_suspected,1.0
2016-01-19,Guatemala-Nor_Occidente,total_zika_suspected,1.0
2016-01-19,Guatemala-Quetzaltenango,total_zika_suspected,1.0
2016-01-26,Guatemala,total_zika_suspected_cumulative,78.0
2016-01-26,Guatemala-Zacapa,total_zika_suspected_cumulative,30.0
2016-01-26,Guatemala-Quetzaltenango,total_zika_suspected_cumulative,29.0
2016-01-26,Guatemala-Suchitepequez,total_zika_suspected_cumulative,11.0
2016-01-26,Guatemala-Izabal,total_zika_suspected_cumulative,3.0
2016-01-26,Guatemala-El_Progreso,total_zika_suspected_cumulative,1.0
2016-01-26,Guatemala-Santa_Rosa,total_zika_suspected_cumulative,1.0
2016-01-26,Guatemala-Nor_Occidente,total_zika_suspected_cumulative,1.0
2016-01-26,Guatemala-Peten_Sur_Oriental,total_zika_suspected_cumulative,2.0
2016-01-26,Guatemala,total_zika_confirmed_cumulative,37.0
2016-02-02,Guatemala,total_zika_suspected_cumulative,112.0
2016-02-02,Guatemala-Zacapa,total_zika_suspected_cumulative,44.0
2016-02-02,Guatemala-Quetzaltenango,total_zika_suspected_cumulative,34.0
2016-02-02,Guatemala-Suchitepequez,total_zika_suspected_cumulative,11.0
2016-02-02,Guatemala-Izabal,total_zika_suspected_cumulative,7.0
2016-02-02,Guatemala-Santa_Rosa,total_zika_suspected_cumulative,5.0
2016-02-02,Guatemala-Chiquimula,total_zika_suspected_cumulative,4.0
2016-02-02,Guatemala-Peten_Sur_Oriental,total_zika_suspected_cumulative,2.0
2016-02-02,Guatemala-El_Progreso,total_zika_suspected_cumulative,1.0
2016-02-02,Guatemala-Retalhuleu,total_zika_suspected_cumulative,1.0
2016-02-02,Guatemala-Nor_Occidente,total_zika_suspected_cumulative,2.0
2016-02-02,Guatemala-Sur,total_zika_suspected_cumulative,1.0
2016-02-09,Guatemala,total_zika_suspected,57.0
2016-02-09,Guatemala-Zacapa,total_zika_suspected,10.0
2016-02-09,Guatemala-Quetzaltenango,total_zika_suspected,30.0
2016-02-09,Guatemala-Suchitepequez,total_zika_suspected,9.0
2016-02-09,Guatemala-Izabal,total_zika_suspected,1.0
2016-02-09,Guatemala-Chiquimula,total_zika_suspected,3.0
2016-02-09,Guatemala-Santa_Rosa,total_zika_suspected,0.0
2016-02-09,Guatemala-Peten_Sur_Oriental,total_zika_suspected,1.0
2016-02-09,Guatemala-El_Progreso,total_zika_suspected,0.0
2016-02-09,Guatemala-Retalhuleu,total_zika_suspected,0.0
2016-02-09,Guatemala-Sacatepequez,total_zika_suspected,1.0
2016-02-09,Guatemala-Escuintla,total_zika_suspected,2.0
2016-02-09,Guatemala-Nor_Occidente,total_zika_suspected,0.0
2016-02-09,Guatemala-Sur,total_zika_suspected,0.0
2016-02-09,Guatemala,total_zika_suspected_cumulative,174.0
2016-02-09,Guatemala-Zacapa,total_zika_suspected_cumulative,57.0
2016-02-09,Guatemala-Quetzaltenango,total_zika_suspected_cumulative,66.0
2016-02-09,Guatemala-Suchitepequez,total_zika_suspected_cumulative,20.0
2016-02-09,Guatemala-Izabal,total_zika_suspected_cumulative,8.0
2016-02-09,Guatemala-Chiquimula,total_zika_suspected_cumulative,7.0
2016-02-09,Guatemala-Santa_Rosa,total_zika_suspected_cumulative,5.0
2016-02-09,Guatemala-Peten_Sur_Oriental,total_zika_suspected_cumulative,3.0
2016-02-09,Guatemala-El_Progreso,total_zika_suspected_cumulative,1.0
2016-02-09,Guatemala-Retalhuleu,total_zika_suspected_cumulative,1.0
