report_date,location,data_field,value
2016-02-03,Haiti-Artibonite-Desssalines_Marchand,total_zika_new_suspected,1
2016-02-03,Haiti-Artibonite-Ennery,total_zika_new_suspected,7
2016-02-03,Haiti-Artibonite-Gonaives,total_zika_new_suspected,3
2016-02-03,Haiti-Artibonite-Verrettes,total_zika_new_suspected,42
2016-02-03,Haiti-Artibonite,total_zika_new_suspected,53
2016-02-03,Haiti-Centre-Hinche,total_zika_new_suspected,7
2016-02-03,Haiti-Centre-Maissade,total_zika_new_suspected,3
2016-02-03,Haiti-Centre-Mirebalais,total_zika_new_suspected,22
2016-02-03,Haiti-Centre,total_zika_new_suspected,32
2016-02-03,Haiti-Grande_Anse-Corail,total_zika_new_suspected,1
2016-02-03,Haiti-Grande_Anse-Dame_Marie,total_zika_new_suspected,3
2016-02-03,Haiti-Grande_Anse-Roseaux,total_zika_new_suspected,2
2016-02-03,Haiti-Grande_Anse,total_zika_new_suspected,6
2016-02-03,Haiti-Nippes-Fond_Des_Negres,total_zika_new_suspected,7
2016-02-03,Haiti-Nippes-Miragoane,total_zika_new_suspected,1
2016-02-03,Haiti-Nippes,total_zika_new_suspected,8
2016-02-03,Haiti-Nord-Cap_Haitien,total_zika_new_suspected,6
2016-02-03,Haiti-Nord-Limbe,total_zika_new_suspected,2
2016-02-03,Haiti-Nord-Milot,total_zika_new_suspected,2
2016-02-03,Haiti-Nord-Pignon,total_zika_new_suspected,3
2016-02-03,Haiti-Nord-Plaine_du_Nord,total_zika_new_suspected,12
2016-02-03,Haiti-Nord-Plaisance,total_zika_new_suspected,4
2016-02-03,Haiti-Nord,total_zika_new_suspected,29
2016-02-03,Haiti-Nord_Est-Ouanaminthe,total_zika_new_suspected,4
2016-02-03,Haiti-Nord_Est,total_zika_new_suspected,4
2016-02-03,Haiti-Nord_Ouest-La_Tortue,total_zika_new_suspected,2
2016-02-03,Haiti-Nord_Ouest-Saint_Louis_du_Nord,total_zika_new_suspected,1
2016-02-03,Haiti-Nord_Ouest,total_zika_new_suspected,3
2016-02-03,Haiti-Ouest-Carrefour,total_zika_new_suspected,8
2016-02-03,Haiti-Ouest-Croix_des_Bouquets,total_zika_new_suspected,1
2016-02-03,Haiti-Ouest-Delmas,total_zika_new_suspected,13
2016-02-03,Haiti-Ouest-Petion_Ville,total_zika_new_suspected,31
2016-02-03,Haiti-Ouest-Petit_Goave,total_zika_new_suspected,2
2016-02-03,Haiti-Ouest-Port_au_Prince,total_zika_new_suspected,1
2016-02-03,Haiti-Ouest,total_zika_new_suspected,56
2016-02-03,Haiti-Sud-Aquin,total_zika_new_suspected,8
2016-02-03,Haiti-Sud,total_zika_new_suspected,8
2016-02-03,Haiti-Sud_Est-Anse_A_Pitres,total_zika_new_suspected,1
2016-02-03,Haiti-Sud_Est-Cotes_de_Fer,total_zika_new_suspected,3
2016-02-03,Haiti-Sud_Est-Marigot,total_zika_new_suspected,1
2016-02-03,Haiti-Sud_Est,total_zika_new_suspected,5
2016-02-03,Haiti-Ouest,total_zika_new_suspected_cumulative,100
2016-02-03,Haiti-Nord,total_zika_new_suspected_cumulative,70
2016-02-03,Haiti-Artibonite,total_zika_new_suspected_cumulative,59
2016-02-03,Haiti-Centre,total_zika_new_suspected_cumulative,47
2016-02-03,Haiti-Nippes,total_zika_new_suspected_cumulative,15
2016-02-03,Haiti-Sud_Est,total_zika_new_suspected_cumulative,11
2016-02-03,Haiti-Sud,total_zika_new_suspected_cumulative,11
2016-02-03,Haiti-Nord_Est,total_zika_new_suspected_cumulative,6
2016-02-03,Haiti-Grande_Anse,total_zika_new_suspected_cumulative,6
2016-02-03,Haiti-Nord_Ouest,total_zika_new_suspected_cumulative,4
2016-02-03,Haiti,total_zika_new_suspected_cumulative,329
