report_date,location,data_field,value
2015-11-28,Mexico-Aguascalientes,weekly_zika_confirmed,0
2015-11-28,Mexico-Baja_California,weekly_zika_confirmed,0
2015-11-28,Mexico-Baja_California_Sur,weekly_zika_confirmed,0
2015-11-28,Mexico-Campeche,weekly_zika_confirmed,0
2015-11-28,Mexico-Chiapas,weekly_zika_confirmed,1
2015-11-28,Mexico-Chihuahua,weekly_zika_confirmed,0
2015-11-28,Mexico-Coahuila_de_Zaragoza,weekly_zika_confirmed,0
2015-11-28,Mexico-Colima,weekly_zika_confirmed,0
2015-11-28,Mexico-Distrito_Federal,weekly_zika_confirmed,0
2015-11-28,Mexico-Durango,weekly_zika_confirmed,0
2015-11-28,Mexico-Guanajuato,weekly_zika_confirmed,0
2015-11-28,Mexico-Guerrero,weekly_zika_confirmed,0
2015-11-28,Mexico-Hidalgo,weekly_zika_confirmed,0
2015-11-28,Mexico-Jalisco,weekly_zika_confirmed,0
2015-11-28,Mexico-Mexico,weekly_zika_confirmed,0
2015-11-28,Mexico-Michoacan_de_Ocampo,weekly_zika_confirmed,0
2015-11-28,Mexico-Morelos,weekly_zika_confirmed,0
2015-11-28,Mexico-Nayarit,weekly_zika_confirmed,0
2015-11-28,Mexico-Nuevo_Leon,weekly_zika_confirmed,1
2015-11-28,Mexico-Oaxaca,weekly_zika_confirmed,0
2015-11-28,Mexico-Puebla,weekly_zika_confirmed,0
2015-11-28,Mexico-Queretaro_de_Arteaga,weekly_zika_confirmed,0
2015-11-28,Mexico-Quintana_Roo,weekly_zika_confirmed,0
2015-11-28,Mexico-San_Luis_Potosi,weekly_zika_confirmed,0
2015-11-28,Mexico-Sinaloa,weekly_zika_confirmed,0
2015-11-28,Mexico-Sonora,weekly_zika_confirmed,0
2015-11-28,Mexico-Tabasco,weekly_zika_confirmed,0
2015-11-28,Mexico-Tamaulipas,weekly_zika_confirmed,0
2015-11-28,Mexico-Tlaxcala,weekly_zika_confirmed,0
2015-11-28,Mexico-Veracruz_de_Ignacio_de_la_Llave,weekly_zika_confirmed,0
2015-11-28,Mexico-Yucatan,weekly_zika_confirmed,0
2015-11-28,Mexico-Zacatecas,weekly_zika_confirmed,0
2015-11-28,Mexico-Aguascalientes,yearly_cumulative_female,0
2015-11-28,Mexico-Baja_California,yearly_cumulative_female,0
2015-11-28,Mexico-Baja_California_Sur,yearly_cumulative_female,0
2015-11-28,Mexico-Campeche,yearly_cumulative_female,0
2015-11-28,Mexico-Chiapas,yearly_cumulative_female,0
2015-11-28,Mexico-Chihuahua,yearly_cumulative_female,0
2015-11-28,Mexico-Coahuila_de_Zaragoza,yearly_cumulative_female,0
2015-11-28,Mexico-Colima,yearly_cumulative_female,0
2015-11-28,Mexico-Distrito_Federal,yearly_cumulative_female,0
2015-11-28,Mexico-Durango,yearly_cumulative_female,0
2015-11-28,Mexico-Guanajuato,yearly_cumulative_female,0
2015-11-28,Mexico-Guerrero,yearly_cumulative_female,0
2015-11-28,Mexico-Hidalgo,yearly_cumulative_female,0
2015-11-28,Mexico-Jalisco,yearly_cumulative_female,0
2015-11-28,Mexico-Mexico,yearly_cumulative_female,0
2015-11-28,Mexico-Michoacan_de_Ocampo,yearly_cumulative_female,0
2015-11-28,Mexico-Morelos,yearly_cumulative_female,0
2015-11-28,Mexico-Nayarit,yearly_cumulative_female,0
2015-11-28,Mexico-Nuevo_Leon,yearly_cumulative_female,0
2015-11-28,Mexico-Oaxaca,yearly_cumulative_female,0
2015-11-28,Mexico-Puebla,yearly_cumulative_female,0
2015-11-28,Mexico-Queretaro_de_Arteaga,yearly_cumulative_female,0
2015-11-28,Mexico-Quintana_Roo,yearly_cumulative_female,0
2015-11-28,Mexico-San_Luis_Potosi,yearly_cumulative_female,0
2015-11-28,Mexico-Sinaloa,yearly_cumulative_female,0
2015-11-28,Mexico-Sonora,yearly_cumulative_female,0
2015-11-28,Mexico-Tabasco,yearly_cumulative_female,0
2015-11-28,Mexico-Tamaulipas,yearly_cumulative_female,0
