report_date,location,data_field,value
2016-02-09,Nicaragua,total_zika_new_suspected,5
2016-02-09,Nicaragua,total_zika_confirmed,3
2016-02-09,Nicaragua-Nueva_Segovia-Ocotal,total_zika_confirmed,1
2016-02-09,Nicaragua-Managua-Distrito_II,total_zika_confirmed,2
2016-02-09,Nicaragua,total_zika_confirmed_cumulative,41
2016-02-11,Nicaragua,total_zika_new_suspected,17
2016-02-11,Nicaragua,total_zika_confirmed,4
2016-02-11,Nicaragua-Managua-Ciudad_Sandino,total_zika_confirmed,1
2016-02-11,Nicaragua-Chinandega,total_zika_confirmed,1
2016-02-11,Nicaragua-Nueva_Segovia-Ocotal,total_zika_confirmed,2
2016-02-11,Nicaragua,total_zika_confirmed_cumulative,47
2016-02-11,Nicaragua,total_zika_confirmed_pregnant_cumulative,4
2016-02-12,Nicaragua,total_zika_confirmed,6
2016-02-12,Nicaragua-Masaya-Nindiri,total_zika_confirmed,1
2016-02-12,Nicaragua-Chinandega-San_Pedro_del_Norte,total_zika_confirmed,1
2016-02-12,Nicaragua-Managua-Distrito_IV,total_zika_confirmed,1
2016-02-12,Nicaragua-Managua-Ciudad_Sandino,total_zika_confirmed,2
2016-02-12,Nicaragua,total_zika_confirmed_cumulative,53
2016-02-12,Nicaragua,total_zika_confirmed_pregnant_cumulative,4
2016-02-15,Nicaragua,total_zika_new_suspected,92
2016-02-15,Nicaragua,total_zika_confirmed,27
2016-02-15,Nicaragua,total_zika_confirmed_cumulative,65
2016-02-16,Nicaragua,total_zika_new_suspected,3
2016-02-16,Nicaragua,total_zika_confirmed,1
2016-02-16,Nicaragua-Managua-Distrito_IV,total_zika_confirmed,1
2016-02-16,Nicaragua,total_zika_confirmed_cumulative,66
2016-02-22,Nicaragua,total_zika_new_suspected,63
2016-02-22,Nicaragua,total_zika_confirmed,12
2016-02-22,Nicaragua,total_zika_confirmed_cumulative,77
2016-02-23,Nicaragua,total_zika_confirmed,2
2016-02-23,Nicaragua-Managua-Distrito_II,total_zika_confirmed,1
2016-02-23,Nicaragua-Leon-Telica,total_zika_confirmed,1
2016-02-23,Nicaragua,total_zika_confirmed_cumulative,79
2016-02-29,Nicaragua,total_zika_new_suspected,49
2016-02-29,Nicaragua,total_zika_confirmed_cumulative,92
2016-02-29,Nicaragua,total_zika_confirmed_pregnant_cumulative,6
2016-03-11,Nicaragua,total_zika_new_suspected,4
2016-03-11,Nicaragua,total_zika_confirmed,2
2016-03-11,Nicaragua-Managua,total_zika_confirmed,2
2016-03-11,Nicaragua,total_zika_confirmed_cumulative,110
