report_date,location,data_field,value
2016-01-06,Panama-Kuna_Yala-Mulatupu,Zika_confirmed_laboratory_2016,2.0
2016-01-06,Panama-Kuna_Yala-Ustupu,Zika_confirmed_laboratory_2016,14.0
2016-01-06,Panama-Kuna_Yala-Ogobsucum,Zika_confirmed_laboratory_2016,7.0
2016-01-06,Panama-Kuna_Yala-Achutupu,Zika_confirmed_laboratory_2016,7.0
2016-01-06,Panama-Kuna_Yala-Playon_Chico,Zika_confirmed_laboratory_2016,2.0
2016-01-06,Panama,Zika_confirmed_F,17.0
2016-01-06,Panama,Zika_confirmed_M,15.0
2016-01-06,Panama,confirmed_age_under_1,1.0
2016-01-06,Panama,confirmed_age_1-4,2.0
2016-01-06,Panama,confirmed_age_5-9,3.0
2016-01-06,Panama,confirmed_age_10-14,1.0
2016-01-06,Panama,confirmed_age_15-19,0.0
2016-01-06,Panama,confirmed_age_20-24,3.0
2016-01-06,Panama,confirmed_age_25-34,4.0
2016-01-06,Panama,confirmed_age_35-49,6.0
2016-01-06,Panama,confirmed_age_50-59,5.0
2016-01-06,Panama,confirmed_age_60-64,2.0
2016-01-06,Panama,confirmed_age_65_plus,5.0
2016-01-29,Panama-Kuna_Yala-Mulatupu,Zika_confirmed_laboratory_2015,2.0
2016-01-29,Panama-Kuna_Yala-Ustupu,Zika_confirmed_laboratory_2015,16.0
2016-01-29,Panama-Kuna_Yala-Ogobsucum,Zika_confirmed_laboratory_2015,7.0
2016-01-29,Panama-Kuna_Yala-Achutupu,Zika_confirmed_laboratory_2015,9.0
2016-01-29,Panama-Kuna_Yala-Pto_Obaldia,Zika_confirmed_laboratory_2015,0.0
2016-01-29,Panama-Kuna_Yala-Playon_Chico,Zika_confirmed_laboratory_2015,3.0
2016-01-29,Panama-Kuna_Yala-Nargana,Zika_confirmed_laboratory_2015,1.0
2016-01-29,Panama-Kuna_Yala-Corazon_de_Jesus,Zika_confirmed_laboratory_2015,0.0
2016-01-29,Panama-Kuna_Yala-Rio_Azucar,Zika_confirmed_laboratory_2015,0.0
2016-01-29,Panama-Kuna_Yala-Rio_Sidra,Zika_confirmed_laboratory_2015,0.0
2016-01-29,Panama-Kuna_Yala-Mulatupu,Zika_confirmed_laboratory_2016,2.0
2016-01-29,Panama-Kuna_Yala-Ustupu,Zika_confirmed_laboratory_2016,0.0
2016-01-29,Panama-Kuna_Yala-Ogobsucum,Zika_confirmed_laboratory_2016,0.0
2016-01-29,Panama-Kuna_Yala-Achutupu,Zika_confirmed_laboratory_2016,0.0
2016-01-29,Panama-Kuna_Yala-Pto_Obaldia,Zika_confirmed_laboratory_2016,3.0
2016-01-29,Panama-Kuna_Yala-Playon_Chico,Zika_confirmed_laboratory_2016,1.0
2016-01-29,Panama-Kuna_Yala-Nargana,Zika_confirmed_laboratory_2016,0.0
2016-01-29,Panama-Kuna_Yala-Corazon_de_Jesus,Zika_confirmed_laboratory_2016,4.0
2016-01-29,Panama-Kuna_Yala-Rio_Azucar,Zika_confirmed_laboratory_2016,1.0
2016-01-29,Panama-Kuna_Yala-Rio_Sidra,Zika_confirmed_laboratory_2016,1.0
2016-01-29,Panama,Zika_confirmed_F,30.0
2016-01-29,Panama,Zika_confirmed_M,20.0
2016-01-29,Panama,confirmed_age_under_5,5.0
2016-01-29,Panama,confirmed_age_5-9,3.0
2016-01-29,Panama,confirmed_age_10-19,5.0
2016-01-29,Panama,confirmed_age_20-29,8.0
2016-01-29,Panama,confirmed_age_30-39,7.0
2016-01-29,Panama,confirmed_age_40-49,6.0
2016-01-29,Panama,confirmed_age_50-59,9.0
2016-01-29,Panama,confirmed_age_60_plus,7.0
2016-02-05,Panama-Kuna_Yala-Mulatupu,Zika_confirmed_laboratory_2015,2.0
2016-02-05,Panama-Kuna_Yala-Ustupu,Zika_confirmed_laboratory_2015,16.0
2016-02-05,Panama-Kuna_Yala-Ogobsucum,Zika_confirmed_laboratory_2015,7.0
2016-02-05,Panama-Kuna_Yala-Achutupu,Zika_confirmed_laboratory_2015,9.0
2016-02-05,Panama-Kuna_Yala-Pto_Obaldia,Zika_confirmed_laboratory_2015,0.0
2016-02-05,Panama-Kuna_Yala-Playon_Chico,Zika_confirmed_laboratory_2015,3.0
2016-02-05,Panama-Kuna_Yala-Nargana,Zika_confirmed_laboratory_2015,1.0
2016-02-05,Panama-Kuna_Yala-Corazon_de_Jesus,Zika_confirmed_laboratory_2015,0.0
2016-02-05,Panama-Kuna_Yala-Rio_Azucar,Zika_confirmed_laboratory_2015,0.0
2016-02-05,Panama-Kuna_Yala-Rio_Sidra,Zika_confirmed_laboratory_2015,0.0
2016-02-05,Panama-Kuna_Yala-Mulatupu,Zika_confirmed_laboratory_2016,2.0
2016-02-05,Panama-Kuna_Yala-Ustupu,Zika_confirmed_laboratory_2016,0.0
2016-02-05,Panama-Kuna_Yala-Ogobsucum,Zika_confirmed_laboratory_2016,0.0
2016-02-05,Panama-Kuna_Yala-Achutupu,Zika_confirmed_laboratory_2016,0.0
2016-02-05,Panama-Kuna_Yala-Pto_Obaldia,Zika_confirmed_laboratory_2016,3.0
2016-02-05,Panama-Kuna_Yala-Playon_Chico,Zika_confirmed_laboratory_2016,1.0
2016-02-05,Panama-Kuna_Yala-Nargana,Zika_confirmed_laboratory_2016,0.0
2016-02-05,Panama-Kuna_Yala-Corazon_de_Jesus,Zika_confirmed_laboratory_2016,4.0
2016-02-05,Panama-Kuna_Yala-Rio_Azucar,Zika_confirmed_laboratory_2016,1.0
2016-02-05,Panama-Kuna_Yala-Rio_Sidra,Zika_confirmed_laboratory_2016,1.0
2016-02-05,Panama,Zika_confirmed_F,30.0
2016-02-05,Panama,Zika_confirmed_M,20.0
2016-02-05,Panama,confirmed_age_under_5,5.0
2016-02-05,Panama,confirmed_age_5-9,3.0
2016-02-05,Panama,confirmed_age_10-19,5.0
2016-02-05,Panama,confirmed_age_20-29,8.0
2016-02-05,Panama,confirmed_age_30-39,7.0
2016-02-05,Panama,confirmed_age_40-49,6.0
2016-02-05,Panama,confirmed_age_50-59,9.0
2016-02-05,Panama,confirmed_age_60_plus,7.0
2016-02-15,Panama-Kuna_Yala-Mulatupu,Zika_confirmed_laboratory_2015,2.0
2016-02-15,Panama-Kuna_Yala-Ustupu,Zika_confirmed_laboratory_2015,16.0
2016-02-15,Panama-Kuna_Yala-Ogobsucum,Zika_confirmed_laboratory_2015,7.0
2016-02-15,Panama-Kuna_Yala-Achutupu,Zika_confirmed_laboratory_2015,9.0
2016-02-15,Panama-Kuna_Yala-Pto_Obaldia,Zika_confirmed_laboratory_2015,0.0
2016-02-15,Panama-Kuna_Yala-Playon_Chico,Zika_confirmed_laboratory_2015,3.0
2016-02-15,Panama-Kuna_Yala-Nargana,Zika_confirmed_laboratory_2015,1.0
2016-02-15,Panama-Kuna_Yala-Corazon_de_Jesus,Zika_confirmed_laboratory_2015,0.0
2016-02-15,Panama-Kuna_Yala-Rio_Azucar,Zika_confirmed_laboratory_2015,0.0
2016-02-15,Panama-Kuna_Yala-Rio_Sidra,Zika_confirmed_laboratory_2015,0.0
2016-02-15,Panama-Kuna_Yala-Carti_Sugdup,Zika_confirmed_laboratory_2015,0.0
2016-02-15,Panama-Kuna_Yala-Mulatupu,Zika_confirmed_laboratory_2016,2.0
2016-02-15,Panama-Kuna_Yala-Ustupu,Zika_confirmed_laboratory_2016,0.0
2016-02-15,Panama-Kuna_Yala-Ogobsucum,Zika_confirmed_laboratory_2016,0.0
2016-02-15,Panama-Kuna_Yala-Achutupu,Zika_confirmed_laboratory_2016,0.0
2016-02-15,Panama-Kuna_Yala-Pto_Obaldia,Zika_confirmed_laboratory_2016,3.0
2016-02-15,Panama-Kuna_Yala-Playon_Chico,Zika_confirmed_laboratory_2016,1.0
2016-02-15,Panama-Kuna_Yala-Nargana,Zika_confirmed_laboratory_2016,0.0
2016-02-15,Panama-Kuna_Yala-Corazon_de_Jesus,Zika_confirmed_laboratory_2016,5.0
2016-02-15,Panama-Kuna_Yala-Rio_Azucar,Zika_confirmed_laboratory_2016,1.0
2016-02-15,Panama-Kuna_Yala-Rio_Sidra,Zika_confirmed_laboratory_2016,1.0
2016-02-15,Panama-Kuna_Yala-Carti_Sugdup,Zika_confirmed_laboratory_2016,2.0
2016-02-15,Panama,Zika_confirmed_F,32.0
2016-02-15,Panama,Zika_confirmed_M,21.0
2016-02-15,Panama,confirmed_age_under_5,5.0
2016-02-15,Panama,confirmed_age_5-9,4.0
2016-02-15,Panama,confirmed_age_10-19,5.0
2016-02-15,Panama,confirmed_age_20-29,8.0
2016-02-15,Panama,confirmed_age_30-39,7.0
2016-02-15,Panama,confirmed_age_40-49,8.0
2016-02-15,Panama,confirmed_age_50-59,9.0
2016-02-15,Panama,confirmed_age_60_plus,7.0
2016-02-19,Panama-Kuna_Yala-Mulatupu,Zika_confirmed_laboratory_2015,2.0
2016-02-19,Panama-Kuna_Yala-Ustupu,Zika_confirmed_laboratory_2015,16.0
2016-02-19,Panama-Kuna_Yala-Ogobsucum,Zika_confirmed_laboratory_2015,7.0
2016-02-19,Panama-Kuna_Yala-Achutupu,Zika_confirmed_laboratory_2015,9.0
2016-02-19,Panama-Kuna_Yala-Pto_Obaldia,Zika_confirmed_laboratory_2015,0.0
2016-02-19,Panama-Kuna_Yala-Playon_Chico,Zika_confirmed_laboratory_2015,3.0
2016-02-19,Panama-Kuna_Yala-Nargana,Zika_confirmed_laboratory_2015,1.0
2016-02-19,Panama-Kuna_Yala-Corazon_de_Jesus,Zika_confirmed_laboratory_2015,0.0
2016-02-19,Panama-Kuna_Yala-Rio_Azucar,Zika_confirmed_laboratory_2015,0.0
2016-02-19,Panama-Kuna_Yala-Rio_Sidra,Zika_confirmed_laboratory_2015,0.0
2016-02-19,Panama-Kuna_Yala-Carti_Sugdup,Zika_confirmed_laboratory_2015,0.0
2016-02-19,Panama-Kuna_Yala-Ailigandi,Zika_confirmed_laboratory_2015,0.0
2016-02-19,Panama-Kuna_Yala-Nalugena,Zika_confirmed_laboratory_2015,0.0
2016-02-19,Panama-Metro-Tocumen,Zika_confirmed_laboratory_2015,0.0
2016-02-19,Panama-Kuna_Yala-Mulatupu,Zika_confirmed_laboratory_2016,3.0
2016-02-19,Panama-Kuna_Yala-Ustupu,Zika_confirmed_laboratory_2016,0.0
2016-02-19,Panama-Kuna_Yala-Ogobsucum,Zika_confirmed_laboratory_2016,0.0
2016-02-19,Panama-Kuna_Yala-Achutupu,Zika_confirmed_laboratory_2016,0.0
2016-02-19,Panama-Kuna_Yala-Pto_Obaldia,Zika_confirmed_laboratory_2016,3.0
2016-02-19,Panama-Kuna_Yala-Playon_Chico,Zika_confirmed_laboratory_2016,2.0
2016-02-19,Panama-Kuna_Yala-Nargana,Zika_confirmed_laboratory_2016,1.0
2016-02-19,Panama-Kuna_Yala-Corazon_de_Jesus,Zika_confirmed_laboratory_2016,5.0
2016-02-19,Panama-Kuna_Yala-Rio_Azucar,Zika_confirmed_laboratory_2016,1.0
2016-02-19,Panama-Kuna_Yala-Rio_Sidra,Zika_confirmed_laboratory_2016,2.0
2016-02-19,Panama-Kuna_Yala-Carti_Sugdup,Zika_confirmed_laboratory_2016,13.0
2016-02-19,Panama-Kuna_Yala-Ailigandi,Zika_confirmed_laboratory_2016,1.0
2016-02-19,Panama-Kuna_Yala-Nalugena,Zika_confirmed_laboratory_2016,1.0
2016-02-19,Panama-Metro-Tocumen,Zika_confirmed_laboratory_2016,1.0
2016-02-19,Panama,Zika_confirmed_F,16.0
2016-02-19,Panama,Zika_confirmed_M,19.0
2016-02-19,Panama,confirmed_age_under_1,1.0
2016-02-19,Panama,confirmed_age_1-4,2.0
2016-02-19,Panama,confirmed_age_5-9,1.0
2016-02-19,Panama,confirmed_age_10-14,4.0
2016-02-19,Panama,confirmed_age_15-19,2.0
2016-02-19,Panama,confirmed_age_20-24,1.0
2016-02-19,Panama,confirmed_age_25-34,4.0
2016-02-19,Panama,confirmed_age_35-49,9.0
2016-02-19,Panama,confirmed_age_50-59,8.0
2016-02-19,Panama,confirmed_age_60-64,2.0
2016-02-19,Panama,confirmed_age_65_plus,1.0
2016-02-19,Panama,weekly_Zika_confirmed_local,33.0
2016-02-19,Panama,weekly_Zika_confirmed_imported,2.0
2016-03-01,Panama-Kuna_Yala-Mulatupu,Zika_confirmed_laboratory_2015,2.0
2016-03-01,Panama-Kuna_Yala-Ustupu,Zika_confirmed_laboratory_2015,16.0
2016-03-01,Panama-Kuna_Yala-Ogobsucum,Zika_confirmed_laboratory_2015,7.0
2016-03-01,Panama-Kuna_Yala-Achutupu,Zika_confirmed_laboratory_2015,9.0
2016-03-01,Panama-Kuna_Yala-Pto_Obaldia,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Kuna_Yala-Playon_Chico,Zika_confirmed_laboratory_2015,3.0
2016-03-01,Panama-Kuna_Yala-Nargana,Zika_confirmed_laboratory_2015,1.0
2016-03-01,Panama-Kuna_Yala-Corazon_de_Jesus,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Kuna_Yala-Rio_Azucar,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Kuna_Yala-Rio_Sidra,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Kuna_Yala-Carti_Sugdup,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Kuna_Yala-Ailigandi,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Kuna_Yala-Nalugena,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Kuna_Yala-Mamitupu,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Kuna_Yala-Wichubhula,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Metro-Tocumen,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Metro-Bella_Vista,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Metro-SanFrancisco,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Metro-Bethania,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Panama_Norte-las_cumbres,Zika_confirmed_laboratory_2015,0.0
2016-03-01,Panama-Kuna_Yala-Mulatupu,Zika_confirmed_laboratory_2016,3.0
2016-03-01,Panama-Kuna_Yala-Ustupu,Zika_confirmed_laboratory_2016,0.0
