,report_date,location,data_field,value
104398,2016-01-27,Puerto_Rico,zika_confirmed_cumulative_2016,9.0
104408,2016_02_04,Puerto_Rico,zika_confirmed_cumulative_2016,12.0
104418,2016_02_10,Puerto_Rico,zika_confirmed_cumulative_2016,21.0
104428,2016_02_18,Puerto_Rico,zika_confirmed_cumulative_2016,54.0
104438,2016_02_24,Puerto_Rico,zika_confirmed_cumulative_2016,102.0
104448,2016_03_03,Puerto_Rico,zika_confirmed_cumulative_2016,147.0
104458,2016_03_10,Puerto_Rico,zika_confirmed_cumulative_2016,192.0
104468,2016_03_17,Puerto_Rico,zika_confirmed_cumulative_2016,192.0
104478,2016_03_25,Puerto_Rico,zika_confirmed_cumulative_2016,340.0
104488,2016_03_30,Puerto_Rico,zika_confirmed_cumulative_2016,362.0
104498,2016_04-06,Puerto_Rico,zika_confirmed_cumulative_2016,426.0
104508,2016-04-13,Puerto_Rico,zika_confirmed_cumulative_2016,540.0
104518,2016_04-20,Puerto_Rico,zika_confirmed_cumulative_2016,616.0
104530,2016_04-27,Puerto_Rico,zika_confirmed_cumulative_2016,697.0
104542,2016_05-04,Puerto_Rico,zika_confirmed_cumulative_2016,775.0
104554,2016_05-12,Puerto_Rico,zika_confirmed_cumulative_2016,915.0
104567,2016_05-19,Puerto_Rico,zika_confirmed_cumulative_2016,1098.0
104580,2016_05-26,Puerto_Rico,zika_confirmed_cumulative_2016,1160.0
104593,2016_06-02,Puerto_Rico,zika_confirmed_cumulative_2016,1342.0
104606,2016_06-09,Puerto_Rico,zika_confirmed_cumulative_2016,1491.0
104619,2016_06-16,Puerto_Rico,zika_confirmed_cumulative_2016,1716.0
104632,2016_06-23,Puerto_Rico,zika_confirmed_cumulative_2016,2152.0
104645,2016_07-01,Puerto_Rico,zika_confirmed_cumulative_2016,2377.0
