,report_date,location,data_field,value
107110,2016-02-16,United_States_Virgin_Islands,zika_reported,61.0
107133,2016-02-23,United_States_Virgin_Islands,zika_reported,63.0
107175,2016-03-01,United_States_Virgin_Islands,zika_reported,72.0
107198,2016-03-08,United_States_Virgin_Islands,zika_reported,75.0
107221,2016-03-15,United_States_Virgin_Islands,zika_reported,94.0
107244,2016-03-22,United_States_Virgin_Islands,zika_reported,94.0
107267,2016-03-29,United_States_Virgin_Islands,zika_reported,77.0
107290,2016-04-05,United_States_Virgin_Islands,zika_reported,148.0
107314,2016-04-12,United_States_Virgin_Islands,zika_reported,177.0
107341,2016-04-19,United_States_Virgin_Islands,zika_reported,192.0
107368,2016-04-19,United_States_Virgin_Islands,zika_reported,203.0
107395,2016-05-03,United_States_Virgin_Islands,zika_reported,210.0
107422,2016-05-10,United_States_Virgin_Islands,zika_reported,212.0
107449,2016-05-17,United_States_Virgin_Islands,zika_reported,228.0
107476,2016-05-24,United_States_Virgin_Islands,zika_reported,228.0
107484,2016-06-01,United_States_Virgin_Islands,zika_reported,253.0
107511,2016-06-07,United_States_Virgin_Islands,zika_reported,276.0
107538,2016-06-14,United_States_Virgin_Islands,zika_reported,302.0
107565,2016-06-21,United_States_Virgin_Islands,zika_reported,302.0
107592,2016-06-28,United_States_Virgin_Islands,zika_reported,326.0
