,estimated_population,state_name
0,"39,250,017",California
1,"27,862,596",Texas
2,"20,612,439",Florida
3,"19,745,289",New York (state)
4,"12,801,539",Illinois
5,"12,784,227",Pennsylvania
6,"11,614,373",Ohio
7,"10,310,371",Georgia (U.S. state)
8,"10,146,788",North Carolina
9,"9,928,301",Michigan
10,"8,944,469",New Jersey
11,"8,411,808",Virginia
12,"7,288,000",Washington (state)
13,"6,931,071",Arizona
14,"6,811,779",Massachusetts
15,"6,651,194",Tennessee
16,"6,633,053",Indiana
17,"6,093,000",Missouri
18,"6,016,447",Maryland
19,"5,778,708",Wisconsin
20,"5,540,545",Colorado
21,"5,519,952",Minnesota
22,"4,961,119",South Carolina
23,"4,863,300",Alabama
24,"4,681,666",Louisiana
25,"4,436,974",Kentucky
26,"4,093,465",Oregon
27,"3,923,561",Oklahoma
28,"3,576,452",Connecticut
29,"3,411,307",Puerto Rico
30,"3,134,693",Iowa
31,"3,051,217",Utah
32,"2,988,726",Mississippi
33,"2,988,248",Arkansas
34,"2,940,058",Nevada
35,"2,907,289",Kansas
36,"2,081,015",New Mexico
37,"1,907,116",Nebraska
38,"1,831,102",West Virginia
39,"1,683,140",Idaho
40,"1,428,557",Hawaii
41,"1,334,795",New Hampshire
42,"1,331,479",Maine
43,"1,056,426",Rhode Island
44,"1,042,520",Montana
45,"952,065",Delaware
46,"865,454",South Dakota
47,"757,952",North Dakota
48,"741,894",Alaska
49,"681,170","Washington, D.C."
50,"624,594",Vermont
51,"585,501",Wyoming
52,"161,785",Guam
53,"103,574",United States Virgin Islands
54,"54,343",American Samoa
55,"52,344",Northern Mariana Islands
